source_id,source_name,target_id,target_name,type,context,chapter,act,weight
character_0,温柔的女声,character_2,炽霞,APPEARS_IN,温柔的女声即炽霞,第0章,第1幕,1.0
character_1,元气的女声,character_3,秧秧,APPEARS_IN,元气的女声即秧秧,第0章,第1幕,1.0
character_2,炽霞,character_3,秧秧,INTERACTS_WITH,炽霞和秧秧一起行动,第0章,第1幕,1.0
character_2,炽霞,location_5,今州城,LOCATED_AT,炽霞提到今州城是她的老家,第0章,第1幕,1.0
character_3,秧秧,location_4,云陵谷,LOCATED_AT,秧秧在云陵谷与主角对话,第0章,第1幕,1.0
character_8,今州岁主「角」,location_6,瑝珑,LOCATED_AT,今州岁主「角」是瑝珑的岁主之一,第0章,第1幕,1.0
item_7,葫芦（盘古终端）,character_2,炽霞,OWNS,炽霞提到葫芦失去信号,第0章,第1幕,1.0
item_7,葫芦（盘古终端）,character_3,秧秧,OWNS,秧秧通过感应知道主角身上有葫芦,第0章,第1幕,1.0
character_9,白芷,character_2,炽霞,INTERACTS_WITH,白芷和炽霞一起行动,第0章,第1幕,1.0
character_9,白芷,character_3,秧秧,INTERACTS_WITH,白芷和秧秧一起行动,第0章,第1幕,1.0
item_10,信标,location_4,云陵谷,LOCATED_AT,信标位于云陵谷,第0章,第1幕,1.0
item_11,伞翼模块,character_3,秧秧,OWNS,秧秧提到终端里的伞翼模块,第0章,第1幕,1.0
event_13,无音区,location_12,天空海,RELATES_TO,无音区由天空海影响形成,第0章,第1幕,1.0
character_2,炽霞,character_17,漂泊者,INTERACTS_WITH,炽霞承诺给漂泊者整个能吸收的,第0章,第2幕,1.0
character_2,炽霞,location_5,今州城,LOCATED_AT,炽霞和秧秧讨论前往今州城,第0章,第2幕,1.0
character_3,秧秧,location_5,今州城,LOCATED_AT,秧秧讨论前往今州城,第0章,第2幕,1.0
character_9,白芷,organization_16,研究院,MEMBER_OF,白芷需要返回研究院,第0章,第2幕,1.0
character_17,漂泊者,organization_16,研究院,PARTicipates_IN,漂泊者需要去研究院进行身体检查,第0章,第2幕,1.0
character_9,白芷,entity_28,云陵谷异变,PARTicipates_IN,白芷提到云陵谷异变,第0章,第2幕,1.0
character_9,白芷,entity_29,无音区复苏,PARTicipates_IN,白芷提到无音区复苏,第0章,第2幕,1.0
character_9,白芷,entity_30,海蚀现象频发,PARTicipates_IN,白芷提到海蚀现象频发,第0章,第2幕,1.0
character_2,炽霞,item_20,声骸,OWNS,炽霞吸收残响获得声骸,第0章,第2幕,1.0
character_2,炽霞,item_21,终端,OWNS,炽霞使用终端吸收声骸,第0章,第2幕,1.0
character_2,炽霞,location_22,中枢信标,LOCATED_AT,炽霞提议带漂泊者去中枢信标登记,第0章,第2幕,1.0
location_5,今州城,event_23,太平乐,RELATES_TO,今州城内提供太平乐娱乐活动,第0章,第2幕,1.0
location_5,今州城,event_24,英雄戏,RELATES_TO,今州城内提供英雄戏娱乐活动,第0章,第2幕,1.0
location_5,今州城,event_25,折子书,RELATES_TO,今州城内提供折子书娱乐活动,第0章,第2幕,1.0
location_5,今州城,event_26,拳道赛,RELATES_TO,今州城内提供拳道赛娱乐活动,第0章,第2幕,1.0
character_31,发愁的角斗士,character_32,不满的谕女,INTERACTS_WITH,对话,第2章,第12幕,1.0
character_33,心情沉重的老者,location_41,狩猎者营地,LOCATED_AT,在营地中回忆过去,第2章,第12幕,1.0
character_34,小卡尤斯,character_35,荣誉加身的角斗士,INTERACTS_WITH,对话和互动,第2章,第12幕,1.0
character_36,初出茅庐的角斗士,character_37,沉稳的角斗士,INTERACTS_WITH,对话,第2章,第12幕,1.0
character_38,热情的商贩,item_44,冰川水酿的雪酒,OWNS,提供饮品,第2章,第12幕,1.0
character_38,热情的商贩,item_45,熔岩熏煮的热酿,OWNS,提供饮品,第2章,第12幕,1.0
character_39,礼官布里奥,character_40,奥古斯塔,MEMBER_OF,原本会和奥古斯塔一起迎接漂泊者,第2章,第12幕,1.0
character_39,礼官布里奥,location_41,狩猎者营地,LOCATED_AT,在营地中邀请漂泊者作为筹花人,第2章,第12幕,1.0
character_40,奥古斯塔,organization_47,元老院,MEMBER_OF,被元老院的琐事绊住,第2章,第12幕,1.0
event_49,黑潮,location_48,七丘,LOCATED_AT,发生在七丘的劫难,第2章,第12幕,1.0
character_50,神王,location_48,七丘,LOCATED_AT,神王死后的庆典在七丘举办,第2章,第12幕,1.0
character_52,莉莉贝婆婆,character_54,谕女,FAMILY,可能是谕女的前任,第2章,第12幕,1.0
character_53,尤诺,character_52,莉莉贝婆婆,FAMILY,可能是莉莉贝婆婆的天才继任者,第2章,第12幕,1.0
character_53,尤诺,character_54,谕女,MEMBER_OF,可能是谕女的天才继任者,第2章,第12幕,1.0
character_56,琳奈,location_57,星炬学院,LOCATED_AT,琳奈是星炬学院的学生,第3章,第2幕,1.0
character_17,漂泊者,location_57,星炬学院,LOCATED_AT,漂泊者跟随琳奈进入星炬学院,第3章,第2幕,1.0
character_56,琳奈,character_17,漂泊者,INTERACTS_WITH,琳奈与漂泊者对话并带他去医务室,第3章,第2幕,1.0
character_17,漂泊者,location_22,中枢信标,PARTicipates_IN,漂泊者被建议去中枢信标登记终端,第3章,第2幕,1.0
character_56,琳奈,location_58,医务室,LOCATED_AT,琳奈带漂泊者去医务室,第3章,第2幕,1.0
character_17,漂泊者,location_58,医务室,LOCATED_AT,漂泊者被琳奈带至医务室检查身体,第3章,第2幕,1.0
character_17,漂泊者,item_59,虚诞虫,RELATES_TO,漂泊者因虚诞虫的活跃区而频率紊乱,第3章,第2幕,1.0
character_60,阿布,character_17,漂泊者,INTERACTS_WITH,阿布与漂泊者对话并一同前往医务室,第3章,第2幕,1.0
character_61,千咲,character_17,漂泊者,INTERACTS_WITH,千咲与漂泊者在星炬学院重逢并对话,第3章,第2幕,1.0
character_56,琳奈,character_62,N.A.N.A.,INTERACTS_WITH,琳奈与N.A.N.A.在医务室对话,第3章,第2幕,1.0
character_56,琳奈,character_63,阿莱谢夫教授,PARTicipates_IN,琳奈与阿莱谢夫教授有小组作业汇报的任务,第3章,第2幕,1.0
character_56,琳奈,location_64,拉海洛,LOCATED_AT,琳奈在拉海洛飙车并撞到漂泊者,第3章,第2幕,1.0
character_17,漂泊者,location_65,黑海岸,LOCATED_AT,漂泊者来自黑海岸,第3章,第2幕,1.0
character_61,千咲,location_66,穗波市,LOCATED_AT,千咲之前在穗波市，漂泊者曾在收音机里听到过她的声音,第3章,第2幕,1.0
character_68,忌炎,character_69,夜归士兵,INTERACTS_WITH,忌炎询问夜归士兵关于士兵情况和抗溯洄雨药剂的效果,第1章,第6幕,1.0
character_68,忌炎,character_70,哥舒临,INTERACTS_WITH,忌炎与哥舒临讨论战斗的目的和牺牲的意义,第1章,第6幕,1.0
character_68,忌炎,character_71,军士,INTERACTS_WITH,军士向忌炎报告装备修理和黑石武器校准情况，以及随行军医的建议,第1章,第6幕,1.0
character_68,忌炎,location_72,今州,LOCATED_AT,忌炎在今州准备进军北落野,第1章,第6幕,1.0
character_68,忌炎,location_73,北落野,LOCATED_AT,忌炎计划进军北落野,第1章,第6幕,1.0
character_69,夜归士兵,item_74,抗溯洄雨药剂,PARTicipates_IN,夜归士兵报告士兵服用抗溯洄雨药剂的情况,第1章,第6幕,1.0
character_78,桃祈,organization_77,天工,MEMBER_OF,桃祈是天工的事务长,第1章,第6幕,1.0
character_78,桃祈,location_72,今州,LOCATED_AT,桃祈在今州处理与边防工事相关的事务,第1章,第6幕,1.0
character_79,秋水,location_72,今州,LOCATED_AT,秋水在今州解释溯洄雨和残象潮的关系,第1章,第6幕,1.0
character_79,秋水,item_76,防护罩,RELATES_TO,秋水解释防护罩的作用和重要性,第1章,第6幕,1.0
